loss,accuracy,val_loss,val_accuracy
0.404790659,0.816970944,0.311820616,0.870006979
0.22622599,0.910753191,0.216828894,0.91034025
0.183983314,0.928025305,0.179060771,0.926224411
0.160583639,0.937230527,0.1710313,0.927158773
0.143352257,0.945279539,0.150276554,0.936190903
0.131606145,0.949779034,0.145151873,0.939071894
0.12230638,0.953830421,0.131634893,0.944989502
0.113308409,0.957245409,0.133770376,0.946274221
0.106948507,0.960606635,0.127705662,0.947948277
0.101569408,0.962847412,0.122435134,0.950984955
0.094404783,0.965500534,0.12323817,0.950634599
0.091018281,0.96707809,0.116528122,0.953320861
0.087355698,0.968081951,0.116906361,0.953204095
0.083089179,0.970107675,0.117966143,0.952347577
0.079375716,0.971541762,0.115002152,0.955423176
0.075986982,0.973092377,0.110639386,0.956474364
0.073700613,0.973621249,0.114102148,0.956201851
0.070471145,0.974571347,0.103257889,0.960211813
0.068304819,0.976552188,0.104566614,0.959666729
0.065830649,0.976928651,0.109560812,0.959433138
0.063798405,0.977968395,0.107464,0.959666729
0.061296572,0.978246272,0.099474732,0.962275147
0.058574228,0.979474247,0.11200682,0.958459854
0.057662226,0.980128527,0.104054534,0.960678995
0.055734745,0.980334699,0.09983239,0.964066029
0.054152023,0.981105506,0.101507837,0.962742329
0.053552631,0.98149991,0.103093271,0.962547719
0.051016281,0.982458949,0.09460223,0.966246188
0.049463318,0.982835412,0.099702866,0.964611053
0.048094891,0.98361522,0.098127812,0.96585691
0.046714307,0.983830333,0.097337439,0.965973675
0.044660872,0.98461014,0.10006666,0.965233982
0.044284535,0.985040367,0.099887018,0.966051519
0.042139035,0.985640943,0.096117994,0.966985881
0.042159057,0.985605061,0.096261862,0.967102706
0.040941159,0.986133873,0.09437495,0.969360769
0.039562977,0.986617923,0.095407459,0.9691661
0.038087121,0.986994386,0.093453339,0.969866872
0.036740866,0.987783134,0.09456564,0.968698919
0.036796571,0.98739773,0.095233906,0.969944715
0.036207318,0.987944484,0.086385431,0.971735597
0.028718765,0.990382433,0.094901359,0.971657693
0.023847065,0.992345393,0.090592195,0.973993599
0.019137811,0.993949831,0.113850933,0.969594359
0.016563132,0.994631052,0.090680643,0.977147102
0.013769383,0.995608032,0.098382636,0.975511968
0.012221905,0.996271312,0.099930361,0.974655449
0.010070415,0.996898711,0.10600459,0.974694371
0.008966282,0.997185528,0.110981601,0.975706637
0.008281077,0.997624755,0.107138506,0.975200474
0.007053977,0.997848809,0.108041766,0.976524174
0.006936524,0.997884691,0.094515004,0.980456293
0.005725256,0.998234272,0.098448071,0.978120387
0.004820186,0.998619676,0.102814083,0.97819823
0.005207604,0.998180449,0.0941689,0.981001318
0.004542145,0.998503149,0.100521004,0.98061198
0.004117189,0.99869138,0.137720769,0.974305093
0.0037024,0.99886167,0.100331583,0.980417371
0.003192058,0.998987138,0.110200231,0.979560852
0.00292836,0.999085724,0.097007285,0.982870042
0.0030094,0.999058843,0.098213208,0.983531892
0.003030022,0.999112666,0.097118442,0.983960152
0.00238723,0.999256074,0.102704494,0.981585324
0.002274919,0.999282956,0.110557209,0.981390655
0.002295427,0.999291897,0.099906952,0.98349297
0.002236578,0.999399483,0.106042061,0.982792199
0.002126893,0.999291897,0.103772423,0.982363939
0.001856983,0.999462187,0.102422809,0.983142555
0.002002287,0.999390483,0.103903033,0.983064711
0.001823079,0.999372602,0.104741789,0.982753277
